,CARD_SIDO_NM,STD_CLSS_NM,total_sale_by_indst
482,전남,중식 음식점업,87759.0
483,전남,차량용 가스 충전업,216860.0
484,전남,차량용 주유소 운영업,1881854.0
485,전남,체인화 편의점,465648.0
486,전남,택시 운송업,504004.17647058796
487,전남,피자 햄버거 샌드위치 및 유사 음식점업,84997.0
488,전남,한식 음식점업,1834576.0
489,전남,호텔업,121170.0
490,전남,화장품 및 방향제 소매업,93186.0
491,전남,휴양콘도 운영업,94722.0
492,전북,건강보조식품 소매업,66719.0
493,전북,골프장 운영업,117636.0
494,전북,과실 및 채소 소매업,199694.0
495,전북,관광 민예품 및 선물용품 소매업,23328.0
496,전북,그외 기타 스포츠시설 운영업,10313.0
497,전북,그외 기타 종합 소매업,85349.0
498,전북,기타 대형 종합 소매업,916421.0
499,전북,기타 수상오락 서비스업,1004.0
500,전북,기타 외국식 음식점업,6859.0
501,전북,기타 주점업,215135.0
502,전북,기타음식료품위주종합소매업,541017.0
503,전북,내항 여객 운송업,18331.5294117647
504,전북,마사지업,12023.0
505,전북,버스 운송업,499493.29411764676
506,전북,비알콜 음료점업,186403.0
507,전북,빵 및 과자류 소매업,19473.0
508,전북,서양식 음식점업,97719.0
509,전북,수산물 소매업,195500.0
510,전북,슈퍼마켓,1049107.0
511,전북,스포츠 및 레크레이션 용품 임대업,5459.0
512,전북,여관업,102257.0
513,전북,여행사업,53810.0
514,전북,욕탕업,57479.0
515,전북,육류 소매업,395525.0
516,전북,일반유흥 주점업,71557.0
517,전북,일식 음식점업,55640.0
518,전북,자동차 임대업,87310.0
519,전북,전시 및 행사 대행업,46630.0
520,전북,정기 항공 운송업,1192454.8823528632
521,전북,중식 음식점업,126038.0
522,전북,차량용 가스 충전업,227268.0
523,전북,차량용 주유소 운영업,1830482.0
524,전북,체인화 편의점,490439.0
525,전북,택시 운송업,504004.1764705886
526,전북,피자 햄버거 샌드위치 및 유사 음식점업,124441.0
527,전북,한식 음식점업,1734559.0
528,전북,호텔업,24120.0
529,전북,화장품 및 방향제 소매업,187239.0
