,CARD_SIDO_NM,avg_temp,precipitation,avg_relative_humidity,year,month
17996,경북,2.6,0.0,40.9,2019,01
17997,경남,2.5,0.0,40.5,2019,01
17998,제주,6.3,0.0,63.6,2019,01
17999,서울,1.8,0.0,54.6,2019,01
18000,부산,8.6,0.0,35.9,2019,01
18001,대구,5.2,0.0,34.1,2019,01
18002,광주,4.1,0.0,46.0,2019,01
18003,인천,1.7,0.0,69.8,2019,01
18004,대전,2.7,0.0,55.8,2019,01
18005,울산,7.9,0.0,30.9,2019,01
18006,경기,2.0,0.0,66.0,2019,01
18007,강원,8.3,0.0,18.0,2019,01
18008,충북,0.0,0.0,51.9,2019,01
18009,충남,1.5,0.0,71.6,2019,01
18010,전북,2.7,0.0,60.9,2019,01
18011,전남,6.7,0.0,49.9,2019,01
18012,경북,7.4,0.0,20.6,2019,01
18013,경남,5.6,0.0,42.9,2019,01
18014,제주,8.2,0.0,68.9,2019,01
18015,서울,-2.0,0.0,29.0,2019,01
18016,부산,2.2,0.0,73.4,2019,01
18017,대구,1.4,0.0,66.1,2019,01
18018,광주,0.4,0.0,81.9,2019,01
18019,인천,-2.4,0.0,33.4,2019,01
18020,대전,0.6,0.0,55.4,2019,01
18021,울산,1.7,0.0,78.4,2019,01
18022,경기,-1.1,0.0,34.1,2019,01
18023,강원,2.4,0.0,56.4,2019,01
18024,충북,-0.8,0.0,49.5,2019,01
18025,충남,-0.6,0.0,53.3,2019,01
18026,전북,-0.3,0.0,79.3,2019,01
18027,전남,2.0,0.0,73.9,2019,01
18028,경북,3.0,0.0,56.9,2019,01
18029,경남,0.9,0.0,77.1,2019,01
18030,제주,4.9,0.0,76.3,2019,01
18031,서울,-2.1,0.0,47.6,2019,02
18032,부산,0.4,0.0,51.5,2019,02
18033,대구,0.0,0.0,44.8,2019,02
18034,광주,-0.2,0.0,67.9,2019,02
18035,인천,-0.9,0.0,51.5,2019,02
18036,대전,-1.2,0.0,65.6,2019,02
18037,울산,0.0,0.0,47.5,2019,02
18038,경기,-2.2,0.0,64.1,2019,02
18039,강원,0.3,0.0,30.3,2019,02
18040,충북,-4.0,0.0,52.4,2019,02
18041,충남,-2.3,0.0,71.8,2019,02
18042,전북,-1.4,0.0,77.6,2019,02
18043,전남,0.5,0.0,59.0,2019,02
18044,경북,0.0,0.0,33.5,2019,02
18045,경남,-1.1,0.0,59.3,2019,02
18046,제주,5.0,0.0,57.5,2019,02
18047,서울,1.4,0.0,60.0,2019,02
18048,부산,4.2,0.0,55.1,2019,02
18049,대구,3.0,0.0,51.0,2019,02
18050,광주,3.8,0.0,71.8,2019,02
18051,인천,2.9,0.0,61.4,2019,02
18052,대전,1.7,0.0,70.4,2019,02
18053,울산,4.1,0.0,49.3,2019,02
18054,경기,1.5,0.0,70.5,2019,02
18055,강원,4.9,0.0,36.1,2019,02
18056,충북,-1.1,0.0,66.9,2019,02
18057,충남,2.2,0.0,69.6,2019,02
18058,전북,3.7,0.0,71.3,2019,02
18059,전남,4.5,0.0,64.3,2019,02
18060,경북,4.2,0.0,43.4,2019,02
18061,경남,2.2,0.0,63.9,2019,02
18062,제주,9.3,0.0,58.3,2019,02
18063,서울,3.3,0.0,92.9,2019,02
18064,부산,11.6,0.0,84.9,2019,02
18065,대구,5.0,0.0,85.5,2019,02
18066,광주,7.3,0.0,97.5,2019,02
18067,인천,3.1,0.0,94.0,2019,02
18068,대전,5.0,0.0,93.0,2019,02
18069,울산,11.3,0.0,84.0,2019,02
18070,경기,3.7,0.0,98.1,2019,02
18071,강원,4.9,0.0,81.0,2019,02
18072,충북,3.0,0.0,93.8,2019,02
18073,충남,5.3,0.0,92.4,2019,02
18074,전북,7.6,0.0,98.6,2019,02
